Period,Ecocash,Telecash,OneMoney
Q1_2016,3121683,64905,12980
Q2_2016,3176090,34112,10857
Q3_2016,3260270,62601,11093
Q4_2016,3245405,49549,8234
Q1_2017,3189611,52076,10097
Q2_2017,3294659,54680,13137
Q3_2017,3738056,78180,51440
Q4_2017,4574409,79429,52940
Q1_2018,4847014,79643,78968
Q2_2018,5402393,79703,152415
Q3_2018,6017685,52863,181990
Q4_2018,6057594,53392,241566
Q1_2019,6313721,53889,312223
Q2_2019,6643008,54190,335132
Q3_2019,6707225,54399,428529
Q4_2019,6812368,53311,468960
Q1_2020,7065382,52564,555255
Q2_2020,6530000,34689,892963
Q3_2020,5452148,19198,854320
Q4_2020,5553981,936479,5222
